	0	1
0	-0.25985	-7.7452
1	-0.48546	-9.6054
2	-1.4708	-9.366
3	-0.49007	-8.155
4	0.01181	-8.5326
5	-0.89065	-8.6753
6	-0.58676	-9.3245
7	-0.06186	-8.1412
8	-0.15855	-8.3945
9	-1.5721	-9.785
10	-1.0564	-8.8365
11	0.55513	-8.2241
12	-0.51309	-9.2371
13	-1.1071	-9.1588
14	-0.66503	-8.307
15	0.20519	-8.4543
16	-1.0196	-8.1274
17	-0.80317	-9.1726
18	0.094689	-8.7444
19	-1.5353	-9.8402
20	-0.58676	-9.1864
21	-1.1255	-8.4681
22	-0.45323	-8.8871
23	-0.81698	-7.8419
24	-1.305	-8.9424
25	-0.40719	-8.5878
26	0.76233	-8.6891
27	-0.95972	-8.1688
28	-0.33352	-8.772
29	-1.7102	-8.7766
30	-0.98274	-8.2287
31	-1.1761	-9.5179
32	-0.23222	-8.1412
33	0.37095	-9.343
34	-0.56834	-9.1588
35	-0.23683	-8.4681
36	-1.3465	-10.264
37	0.49527	-9.4857
38	-0.87684	-9.4949
39	-0.6328	-9.3338
40	-0.67885	-9.4765
41	-0.43021	-8.8273
42	0.0072061	-8.6385
43	-1.061	-9.2877
44	-1.7977	-9.8771
45	-1.0426	-9.389
46	-1.1531	-10.098
47	-0.55453	-9.8955
48	-0.60057	-9.61
49	-1.2222	-9.5456
50	-1.6458	-10.163
51	-1.1715	-9.5502
52	-0.72489	-9.9876
53	-1.9082	-10.443
54	-1.6688	-9.9047
55	-1.7609	-10.618
56	-1.7839	-10.899
57	-1.015	-10.333
58	-1.632	-10.48
59	-2.1292	-10.112
60	-1.1025	-10.881
61	-2.097	-10.54
62	-2.3825	-10.374
63	-1.9865	-10.356
64	-2.2213	-10.706
65	-3.0501	-10.052
66	-2.889	-10.586
67	-2.8659	-11.355
68	-2.8843	-10.757
69	-3.1422	-11.498
70	-3.4046	-10.881
71	-4.146	-11.521
72	-3.6303	-11.742
73	-3.8329	-11.258
74	-3.0271	-11.498
75	-3.6441	-10.821
76	-4.6064	-11.949
77	-4.0769	-11.512
78	-3.0409	-11.76
79	-4.0262	-11.212
80	-4.7215	-12.198
81	-3.819	-11.829
82	-4.9195	-12.414
83	-4.2749	-12.184
84	-4.3578	-11.074
85	-5.4122	-11.908
86	-5.2188	-12.994
87	-4.4637	-11.788
88	-5.2326	-11.443
89	-5.4214	-11.792
90	-5.9002	-11.839
91	-6.2179	-11.908
92	-6.4205	-12.419
93	-6.8487	-11.746
94	-5.3201	-12.281
95	-6.9546	-12.308
96	-6.3975	-12.594
